일련번호,설교일,예배종류,성경본문,추가본문,설교제목,설교 요약,메모,설교록정보,파일코드
446,1983-08-12,금요일저녁,약 2:22,,,,,95호 321쪽,1983081253
447,1983-08-13,토-새벽,요 20:26-29,,,,,95호 338쪽,1983081360
448,1983-08-14,공과,계 11:1-2,,교회 척량,,,95호 349쪽,1983081476
449,1983-08-14,주일오전,계 11:1-8,,..두 선지자의 순교,,,95호 352쪽,1983081401
450,1983-08-15,월-새벽,요일 3:1-6,,,,,95호 365쪽,1983081510
451,1983-08-16,화-새벽,요일 3:1-6,,,,,95호 386쪽,1983081620
452,1983-08-17,수-새벽,히 12:1-2,,,,,95호 403쪽,1983081730
453,1983-08-17,수요일저녁,창 13:1-13,, 두 신앙 노선,"1. 본문 주해
2. 인본 주의냐 신본 주의냐
3. 아브라함의 신앙노선을 걸으라",,333호 416쪽,1983081733
454,1983-08-18,목-새벽,히 12:1-8,,,,,95호 433쪽,1983081840
455,1983-08-19,금-새벽,고전 3:19-23,,,,,95호 451쪽,1983081950
456,1983-08-19,지권찰회,요 10:4-5,,,,,95호 478쪽,1983081981
457,1983-08-19,금요일저녁,고전 3:16-23,,,,,95호 483쪽,1983081953
458,1983-08-20,토-새벽,창 2:15-17,,현실은 내것이다,,,95호 498쪽,1983082060
459,1983-08-21,주일오전,히 4:4-11,,주일에 대해서,,,95호 523쪽,1983082101
460,1983-08-21,주일오후,출 16:16-30,,계명 지키는 생활,,,95호 534쪽,1983082102
461,1986-11-16,주일오후,요 6:53-58,,,,,146호 7쪽,1986111602
462,1986-11-17,월-새벽,요 6:53-59,,,"제목: 주의 피와 살
주의 피와 살이 아니면 생명이 없음을 말씀 중 생명과 영생을 교훈 중 예배당 소송문제가 나와서 여러가지 과거 
얘기를 말씀 하심
======2",,146호 19쪽,1986111710
463,1986-11-18,화-새벽,요 6:41-51,,깨닫고 실행해서 자라가자,"깨닫지 못한 유대이들
피와 살을 먹는 자
환경을 이용해서 자라가자
제목: 피와 살을 생각하여 능력을 받자
주님의 피와 살이 양식인데 이 양식을 생각으로 먹어 실상 죄, 마귀, 사망을 멸하고  의,화친, 영생을  이루는 능력을
받도록 교훈하심
=====2",,146호 36쪽,1986111820
464,1986-11-19,수-새벽,요 6:41-58,,,"제목: 하나님말씀과 세상지식
하나님의 지식의 계시성을 말씀하여 인간의 연구에 의하지 않고 하나님으로 인한 것임을 말씀
=======2",,146호 48쪽,1986111930
465,1986-11-19,공과,갈 5:16-26,,두가지 생의 열매,,,146호 64쪽,1986111976
466,1986-11-19,수요일저녁,갈 5:16-26,,공과를 가르치는 반사의 올바른 자세,"공과
반사가 취해야 할 자세
부흥이 지체되는 원인
공과를 외우고 살라고 애를 써라
단독으로 움직일 수 없는 심신
실행을 하자
새벽기도에 다 참석하자
제목: 심령의 두 인도자
심신은 하나의 도구요 심신을 주장하는 두인도자가 있어 주장하여 사는 것을 교훈하여 성령을 영접케하심
=======2",,146호 66쪽,1986111933
467,1986-11-20,목-새벽,갈 6:16-26,"잠 23:31, 요 1:14, 마 5:25",성령을 쫓아 행하면,"중생된 영은 죄를 짓지 않는다
육체의 욕심으로 살아서 안되는 우리
육체의 욕심을 이루지 못하리라
잘못은 이 땅에서 해결 지워라
제목: 육체의 욕심의 정의
육체의 소욕 곧 그것이 악령의 소욕 옛사람의 소욕임을 논리적으로 증거하여 깨닫게 하심
===============2",,146호 88쪽,1986112040
468,1986-11-21,지권찰회,히 11:7,,소망을 잃지 말라,"조롱 받은 노아
이길수 있는 힘은 소망으로 인하여
소망을 잃지 말라
",,146호 106쪽,1986112181
469,1986-11-21,금요일저녁,고전 2:1-5,,바울의 증거,"설교동기
바울의 증거
노아의 믿음과 교훈
사활 대속안에서 두려워 떨므로 전하는 자가 되자
소망의 투구를 쓰자
믿음이 자라는 길
제목:예수 그리스도와 그 십자가
전반적으로 강한 톤, 본문 주해식으로 설교하심
===========2",,333호 110쪽,1986112153
470,1986-11-22,토-새벽,고전 2:1-5,,사활 대속의 실상,"율법이냐? 복음이냐?
믿고 행하는 것의 중요성
주님의 것이 되어 사는 자가 되라
",,333호 126쪽,1986112260
471,1986-11-23,주일-새벽,갈 5:16-26,눅9:58,말과 인도를 구별하며 살아라,"할 말과 안 할 말
성령의 인도와 마귀의 인도를 구별하라
단어보다 이치에 가치를 두라
성령을 좇아 행하라
제목:성령을 쫓아 행하라
1.다른 사람의 잘 못을 지적하기 위해서 지적하기 보다는 자기것으로 만들어라
2.정과 욕심을 죽이고 성령의 인도대로 살아라
* 설교를 들을때 숫자나 단어에 관심을 가지는 것보다 예수 믿는 도리 이치에 더 관심을 가지고 자기에게 적용을 시킬 것
* 설교록을 내는 것은 돈 벌기 위해서 하는 것이 아니고 사람을 구원하기 위해서다
* 예수 믿는 사람은 육체대로 살아 멸망하는 길이 있고, 성령의 인도대로 살아서 성공되고 행복,
      금생, 내생의 성공, 생명, 평강에 속한 삶을 살수도 있다.
* 성령의 인도대로 살면 하나님을 모시고, 사귀고, 자기 하나님으로 삼는 삶이요 이보다 더 가치 있는 것은 없다
============ 2

제목:두 소욕
신고함에 나온 문제를 권면 후 두 소욕 말씀하시고 교훈하심
=========2",,146호 141쪽,1986112300
472,1986-11-23,주일오전,마 22:1-14,, 혼인 잔치비유,"1. 잔치에 불응한 교회
 1) 구약교회(1-3)
 2) 신약교회(4-)
2. 지금은 부지런히 전도할 때(8-10)
3. 예복 입지 아니한 사람(한 사람 뿐)
4. 깨달은 교훈
 1)불탈 것이 얼마인가 돌아 보라
 2) 열심히 끌어 들일 일이 나의 할 일
 3) 예복 안 입으면 결박당하고 멸망 받는다
5. 혼인잔치를 등한히 한 자체나 생애는 전먈한다",,222호 158쪽,1986112301
473,1986-11-23,주일오후,마 22:1-14,,혼인 잔치의 비유,"1. 교인을 알뜰히 가르치라
2. 믿음의 신기성
3. 혼인 잔치에 참석 않은 것은 전부 멸망이다
4. 우리가 할 일",,333호 173쪽,1986112302
474,1986-11-24,월-새벽,마 22:1-14,,,"제목; 혼인
주님과 우리와의 신령한 혼인관계를 교훈하심
장가오신 주님과 시집간 우리 성도
==========2",,146호 191쪽,1986112410
475,1986-11-25,화-새벽,요 8:31-40,,,"제목:이 복음에 대한 교훈
복음에 대해서 여러가지를 교훈하심
=======2",,146호 208쪽,1986112520
476,1986-11-26,수-새벽,요 8:31-40,,,"제목: 기독교 신본주의
기독교의 유사주의를 말씀하시고 참된 기독교에 서도록 교훈하심
======2",,146호 226쪽,1986112630
477,1986-11-26,수요일저녁,요 8:31-40,,진리가 자유케 하리라,"제목;주님 모시는 법(진리 모시는 법)
주님과 진리를 모시는 것이 복된데 이 방법을 설명하심, 후반에는 이 교훈에 대한 잡식성을 꾸중하심(방송설교등)
========2",,146호 247쪽,1986112633
478,1986-11-27,목-새벽,요 8:31-37,,,"제목: 7가지 대속
7가지 대속을 말씀하여 실행함으로 참 제자가 되게 하심
=====2",,146호 272쪽,1986112740
479,1986-11-28,금-새벽,요 8:31-37,,순전한 믿음을 만드는 길,"제목: 순전한 믿음을 만드는 길
1. 말씀을 깨닫는 순전한 믿음
1.1. 성령의 능력이 역사하지 않으면 안된다
1.2. 순전한 믿음의 사람이 되는 길
1.3. 연단이 끝나는 시점은 죽음으로 인하여만
1.4. 실행이 없으면 깨닫지 못한다
1.5. 사랑의 예
2. 영생할 요소
-1-
====================

제목: 믿음의 연성과 최후 승리
서론: 믿는 자 되게 하신다.
본론
1.20절해석
2.7가지 가룬 것 중 3가지 해석
3.전도 ㄱ. 사죄 받는 길  ㄴ.칭의 받는 길  ㄷ.화친 받는 길--->능력, 지혜, 자체가 하나님과 하나됨
4.하나님께서 내게 해주신 것을 잊으면 안됨
결론
믿음이 없어서 효력이 없음
===================2",,146호 289쪽,1986112850
480,1986-11-28,지권찰회,요일 4:7-11,,두 종류의 사랑,"두 종류의 사랑
참 사랑
사랑이 없다는데 대한 답변
절도 강도 노릇하지 말라 - 솔로몬 재판 예증
사랑을 깨닫고 사랑으로 충성하자
제목; 참 사랑의 전도 
참 사랑을 말씀 후 전도함에도 이 참 사랑으로 전할 것을 말씀하심
=================2",,146호 307쪽,1986112881
481,1986-11-28,금요일저녁,요 8:31-38,,,"제목: 참 제자
말씀에 거하면 예수님의 참 제자 곧 하나님과 본질 본성이 꼭같이 되는 큰 구원이 되어짐을 말씀하심
==========2",,146호 317쪽,1986112853
482,1986-11-29,토-새벽,요 8:31-37,,,,,146호 342쪽,1986112960
483,1986-11-30,주일-새벽,갈 5:13-26,,옛사람을 죽이고 새사람으로 사는 자가 되자,"불신자의 생활 방편
믿는 사람의 생활 방편 - 지배 받는 여러가지 종류
옛사람을 죽이고 새사람(의의 병기)으로 사는 자가 되어야 함
옛사람으로 사는 것의 종류들
옛사람으로 살 것과 결과
성령으로 행하는 자가 되자
제목: 두 자기 구별
두 자기 구별 못하면 헛일 임을 강조 후 육체의 일을 간단히 설명하심
============2",,146호 362쪽,1986113000
484,1986-11-30,주일오전,학 2:15-23,,광안동교회 설교,,,146호 378쪽,1986113001
485,1986-11-30,주일오후,마 22:1-14,,혼인잔치,,,146호 398쪽,1986113002
486,1986-12-01,월-새벽,고전 2:1-5,,,"제목:게을 죄
초두에 6장 찬송 해설후 게을하지 말고 예수 믿는 일에 전력하라는 교훈하심, 7가지 대속 결부
============2",,146호 424쪽,1986120110
487,1986-12-02,화-새벽,엡 4:10-16,히 11:15,네 가지로 자라 가자,"모든 병의 원인은 악
병을 발견하면 서로 지적하여 고치자
자라감에 필요한 네 가지 = ㄱ. 생명 - 사활대속을 생각
 ㄴ. 호흡 - 기도
 ㄷ. 양식 - 성경말씀
 ㄹ. 활동 - 전도
네 가지 해서 자라 가자
제목: 4가지 중요요소
신앙생활에 중요한 4가지 요소는 생명, 기도(호흡),양식(성경),활동(전도)
=================2",,222호 0쪽,1986120220
488,1986-12-03,수-새벽,엡 4:10-16,,두 종류의 소욕,"두 소욕으로 살아가는 성도
의의 병기 죄의 병기
정과 욕심을 죽이고 성령으로 살면 전능생활
육체의 소욕과 종류와 결과
성령으로 행하는 자가 되자
4.
 ㄱ. 성령을 거슬린다
 ㄴ. 종류
 가. 음행
 나. 더러운 것
 다. 호색, 
라 우상숭배
 마. 술수
 바. 원수 맺는 것
 사. 분쟁
 아. 시기 분쟁
 자. 당짓는 것
 차. 분리함
 카. 이단, 투기, 술취함. 방탕
ㄷ. 유업으로 받지 못한다.
====================

제목: 자라는 법 4가지
자라는 법 곧 신앙이 성장하는 법 4가지를 강하게 교훈하심
========2",,146호 458쪽,1986120330
489,1986-12-03,수요일저녁,갈 5:16-18,"롬 8:18, 37",성도의 인도자는 둘,"인간은 스스로 구원 할 수 없다
성도의 인도자는 둘
대내전을 반드시 이겨야 한다
대내전을 실패하면 성령이 역사하지 않는다
하나님 축복으로만 살아가야 할 우리
제목: 심령 두 인도자
성령의 인도와 악령의 인도 2가지를 공과로 설명하심
==========2",,222호 0쪽,1986120333
490,1986-12-04,목-새벽,엡 4:11-16,,,"제목: 자라는 법 4요소
4가지 요소를 교훈하여 믿음이 자라가게 하심(생명,기도, 성경,전도활동)
=============2",,146호 489쪽,1986120440
491,1986-12-05,금-새벽,갈 5:16-26,,육체의 특징,"육체는 부패성이 아니고 심신
육체의 특징
여러 계시들
믿음으로 따라 순종하는 자가 되자
2.
 1)죽었던 우리
 2)의의 도구와 죄의 도구가 될 수 있다 
============ 1
제목:성령의 인도따라 가자
육체의 정의를 내리고 성령님의 인도를 받도록 여러가지로 예증하여 든든히 믿고 따르도록 하심
=================2",,146호 507쪽,1986120550
492,1986-12-05,지권찰회,벧전 1:24-25,,육체는 풀과 같다,"1. 알아가는 순서-바로 아는 것, 바로 행하는 것
2. 늙어서도 쓸모있는 사람이 되기 위하여 힘써라
------------------ 1
제목: 육체와 복음
권찰일 함이 영원히 후회없는 복된 일임을 강권하심
=============2",,146호 524쪽,1986120581
493,1986-12-05,금요일저녁,갈 5:2-26,,의인됨의 과정,"의인됨의 과정
원치 아니하는 것을 하노라
성경을 바로 깨닫는 법을 아는 대로 실행하라
심신의 주인
예수님의 대속을 믿음으로 성령을 영접한다
제목: 성령 영접법
7가지 대속과 중생 영감과 세례영감에 말씀 후 성령 영접법을 증거하심
===============2",,333호 535쪽,1986120553
494,1986-12-06,토-새벽,출 19:12-25,,,"제목: 예수님의 사활의 대속공로와 성령 영접
예수님의 피공로가 어떤 보배로운지를 설명하여 이로 말미암아만 하나님과 접선됨을 말씀하심
=============2",,146호 566쪽,1986120660
495,1986-12-07,주일-새벽,갈 5:16-26,,두 소욕의 싸움,"두 소욕의 싸움
멸망과 행복은 마음에서 결정된다
사활대속 7가지로 자기를 바꿔라
1.
 1)어디다가 가치를 두느냐가 문제
 2)악령이 방해를 하는 것
 3)성령을 따라 순종하면 전능의 생활
2.
  1)금생 행복, 멸망,  영원 행복 멸망이 결정된다.
  2)정과 욕심의 인도는 멸망
  3)성령의 인도는 승리, 성공,행복
=========== 1
제목:성령의 인도와 인도를 받는 법
성령의 인도와 악령인도의 심중 인도자에 딸린 인생임을 증거하여 성령인도 받는 법을 교훈하심
=============2",,146호 579쪽,1986120700
496,1987-01-23,금-새벽,사 49:23,,거짓말 하지 말라,"열왕
양부
왕비
유모
거짓말
도적질",거짓말하지 말라는 것을 교훈하심 뒤편에 7가지 도적질도 가미하심,149호 7쪽,1987012350
497,1987-01-23,지권찰회,사 1:18-20,딤후3:16-17,잘 못된 것은 고쳐라,"기독교의 장점
연보 권유를 구별해서 하라
잘 못된 것은 고쳐라
1.
ㄱ. 하나님과 자기와의 관계만 바로 하면 됨
ㄴ. 옳고 거름을 바로 지적해 주면 된다.

* < 구역식구의 돈 거래에 대한 규칙 제시>
----------------------------------------------

대접비
연보
회개
성직과 물질담보","대접,연보,죄회개,성직과 물질담보에 대한 교훈하심",149호 18쪽,1987012381
498,1987-01-23,금요일저녁,눅 5:1-11,,사람 낚는 어부//베드로의 이적과 4가지 교훈,"-----------2
심방과 교훈관계－　교권
은혜의　때와　사업할　때－밤
회개와　주님의　위로　－옛사람　자기
주권자　주님

","위 제목의 4가지 교훈을 하심, 교훈 위주로서 믿음을 가지게 함",149호 26쪽,1987012353
499,1987-01-24,토-새벽,약 5:7-11,,겸손관　및　고난관,"장로
겸손
교만
고난
소망",겸손과　높아짐，　교만과　내려가짐의　관계를　설명하심　그리고　고난관에　대한　교훈,149호 48쪽,1987012460
